title,rating,numOfRatings,FirstMovieRecommendation,SecondMovieRecommendation,ThirdMovieRecommendation,FourthMovieRecommendation
Braindead (1992),4.0,11,Willy Wonka and the Chocolate Factory (1971),M*A*S*H (1970),Speed (1994),Face/Off (1997)
Bram Stoker's Dracula (1992),3.183333333333333,60,Dead Man Walking (1995),"Shining, The (1980)","Game, The (1997)",Quiz Show (1994)
Brassed Off (1996),4.1875,16,Speed (1994),It's a Wonderful Life (1946),"Sting, The (1973)",Braveheart (1995)
Braveheart (1995),4.245161290322581,155,Forrest Gump (1994),Raiders of the Lost Ark (1981),Apollo 13 (1995),Aladdin (1992)
Brazil (1985),3.935483870967742,124,Star Trek: The Wrath of Khan (1982),"Game, The (1997)","Fifth Element, The (1997)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)
Bread and Chocolate (Pane e cioccolata) (1973),3.0,7,Pulp Fiction (1994),Jaws (1975),"Empire Strikes Back, The (1980)",Contact (1997)
Breakdown (1997),3.3947368421052633,38,Rear Window (1954),"Sound of Music, The (1965)",Beauty and the Beast (1991),Mr. Holland's Opus (1995)
Breakfast at Tiffany's (1961),3.8653846153846154,52,Starship Troopers (1997),Raising Arizona (1987),Get Shorty (1995),Trainspotting (1996)
Breaking the Waves (1996),3.6808510638297873,47,Brazil (1985),Lone Star (1996),Broken Arrow (1996),"Usual Suspects, The (1995)"
Bride of Frankenstein (1935),3.6,25,"People vs. Larry Flynt, The (1996)",Sense and Sensibility (1995),Mighty Aphrodite (1995),GoodFellas (1990)
"Bridge on the River Kwai, The (1957)",4.155555555555556,90,Alien (1979),In & Out (1997),Heat (1995),M*A*S*H (1970)
"Bridges of Madison County, The (1995)",3.057142857142857,35,Chasing Amy (1997),"Full Monty, The (1997)",Starship Troopers (1997),"Shining, The (1980)"
Bringing Up Baby (1938),3.764705882352941,34,L.A. Confidential (1997),"Devil's Own, The (1997)","Graduate, The (1967)","Fish Called Wanda, A (1988)"
Broken Arrow (1996),2.9618320610687023,131,"Rock, The (1996)","Time to Kill, A (1996)",True Lies (1994),"Game, The (1997)"
Broken English (1996),1.75,4,Trainspotting (1996),Contact (1997),Dante's Peak (1997),In & Out (1997)
"Bronx Tale, A (1993)",3.933333333333333,30,"Shawshank Redemption, The (1994)",Gandhi (1982),Volcano (1997),Stand by Me (1986)
Brother Minister: The Assassination of Malcolm X (1994),3.0,5,Aliens (1986),Willy Wonka and the Chocolate Factory (1971),Volcano (1997),Toy Story (1995)
"Brothers McMullen, The (1995)",3.5813953488372094,43,"Fish Called Wanda, A (1988)","Birdcage, The (1996)","Shining, The (1980)",True Lies (1994)
"Browning Version, The (1994)",3.2857142857142856,7,Aliens (1986),"Fugitive, The (1993)","Time to Kill, A (1996)",Ransom (1996)
Buddy (1997),2.0,2,-,-,-,-
Bulletproof (1996),3.0869565217391304,23,GoodFellas (1990),"Game, The (1997)",Babe (1995),"English Patient, The (1996)"
Bullets Over Broadway (1994),3.74,50,Raising Arizona (1987),Star Trek: The Wrath of Khan (1982),Fargo (1996),Mighty Aphrodite (1995)
Burnt By the Sun (1994),3.6470588235294117,17,"Game, The (1997)",True Lies (1994),Twelve Monkeys (1995),"Lion King, The (1994)"
Burnt Offerings (1976),2.6666666666666665,3,"Game, The (1997)",Alien (1979),"Fugitive, The (1993)",Scream (1996)
Bushwhacked (1995),2.0,4,E.T. the Extra-Terrestrial (1982),Groundhog Day (1993),"Full Monty, The (1997)",Forrest Gump (1994)
Butch Cassidy and the Sundance Kid (1969),4.0,120,Mrs. Doubtfire (1993),"Time to Kill, A (1996)",Back to the Future (1985),Jaws (1975)
"Butcher Boy, The (1998)",4.0,1,-,-,-,-
"Bye Bye, Love (1995)",3.125,8,Amadeus (1984),"Sound of Music, The (1965)",Lone Star (1996),Butch Cassidy and the Sundance Kid (1969)
C'est arrivé près de chez vous (1992),3.0,4,Alien (1979),Aliens (1986),It's a Wonderful Life (1946),When Harry Met Sally... (1989)
Cabin Boy (1994),2.5555555555555554,9,Conspiracy Theory (1997),"Hunt for Red October, The (1990)",To Kill a Mockingbird (1962),Gandhi (1982)
"Cable Guy, The (1996)",2.357142857142857,56,Apocalypse Now (1979),Face/Off (1997),Unforgiven (1992),Babe (1995)
Calendar Girl (1993),2.5,2,Alien (1979),"Hunt for Red October, The (1990)",M*A*S*H (1970),Terminator 2: Judgment Day (1991)
Canadian Bacon (1994),2.4285714285714284,14,Beauty and the Beast (1991),"Hunt for Red October, The (1990)",It's a Wonderful Life (1946),Contact (1997)
"Candidate, The (1972)",3.6818181818181817,22,Dante's Peak (1997),Mighty Aphrodite (1995),Heat (1995),When Harry Met Sally... (1989)
Candyman (1992),2.7837837837837838,37,In & Out (1997),Scream (1996),"Game, The (1997)","Full Monty, The (1997)"
Candyman: Farewell to the Flesh (1995),2.4,15,M*A*S*H (1970),Men in Black (1997),"Full Monty, The (1997)",Broken Arrow (1996)
Cape Fear (1962),3.4038461538461537,52,Men in Black (1997),"Full Monty, The (1997)","Time to Kill, A (1996)",Evita (1996)
Cape Fear (1991),3.4574468085106385,94,Stand by Me (1986),Phenomenon (1996),Die Hard (1988),"Fugitive, The (1993)"
Captives (1994),1.0,1,-,-,-,-
Career Girls (1997),2.909090909090909,22,"Wizard of Oz, The (1939)",Gandhi (1982),Butch Cassidy and the Sundance Kid (1969),Apocalypse Now (1979)
Carlito's Way (1993),3.4,30,Psycho (1960),Batman (1989),"Fugitive, The (1993)",Back to the Future (1985)
Carmen Miranda: Bananas Is My Business (1994),1.5,2,Rear Window (1954),Terminator 2: Judgment Day (1991),Back to the Future (1985),Raising Arizona (1987)
Caro Diario (Dear Diary) (1994),2.6666666666666665,3,"Princess Bride, The (1987)",Terminator 2: Judgment Day (1991),"Sting, The (1973)","Sound of Music, The (1965)"
Carpool (1996),1.5,2,"Rock, The (1996)",Stand by Me (1986),"Fish Called Wanda, A (1988)",Four Weddings and a Funeral (1994)
Carrie (1976),3.693548387096774,62,In & Out (1997),"Shining, The (1980)",Batman (1989),Schindler's List (1993)
Carried Away (1996),2.5,8,Lone Star (1996),Heat (1995),Twister (1996),Toy Story (1995)
Carrington (1995),3.142857142857143,7,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Conspiracy Theory (1997),Broken Arrow (1996),Air Force One (1997)
Casablanca (1942),4.4961832061068705,131,Heat (1995),Evita (1996),"Wizard of Oz, The (1939)",L.A. Confidential (1997)
Casino (1995),3.5833333333333335,48,M*A*S*H (1970),This Is Spinal Tap (1984),Courage Under Fire (1996),Psycho (1960)
Casper (1995),2.9310344827586206,29,L.A. Confidential (1997),Sense and Sensibility (1995),Twister (1996),Independence Day (ID4) (1996)
Castle Freak (1995),1.0,1,-,-,-,-
Cat People (1982),2.8461538461538463,26,Star Trek: The Wrath of Khan (1982),Beauty and the Beast (1991),Quiz Show (1994),Mighty Aphrodite (1995)
Cat on a Hot Tin Roof (1958),4.0,34,Quiz Show (1994),Toy Story (1995),Heat (1995),"Sting, The (1973)"
Cats Don't Dance (1997),2.6470588235294117,17,Courage Under Fire (1996),Mr. Holland's Opus (1995),Face/Off (1997),Dead Man Walking (1995)
Catwalk (1995),1.3333333333333333,3,"English Patient, The (1996)",Leaving Las Vegas (1995),Fargo (1996),"Full Monty, The (1997)"
Caught (1996),2.3333333333333335,3,"English Patient, The (1996)",Trainspotting (1996),Leaving Las Vegas (1995),Contact (1997)
Celestial Clockwork (1994),4.0,1,-,-,-,-
"Celluloid Closet, The (1995)",3.914285714285714,35,M*A*S*H (1970),Boogie Nights (1997),Jaws (1975),Quiz Show (1994)
Celtic Pride (1996),2.8,5,Chasing Amy (1997),Lone Star (1996),Murder at 1600 (1997),Twelve Monkeys (1995)
"Cement Garden, The (1993)",3.6,5,"Truth About Cats & Dogs, The (1996)",Courage Under Fire (1996),In & Out (1997),Air Force One (1997)
Cemetery Man (Dellamorte Dellamore) (1994),3.1,10,Star Trek: The Wrath of Khan (1982),Sense and Sensibility (1995),Speed (1994),Star Trek IV: The Voyage Home (1986)
Century (1993),3.0,1,-,-,-,-
Chain Reaction (1996),2.5,44,Air Force One (1997),Twister (1996),It's a Wonderful Life (1946),Eraser (1996)
Chairman of the Board (1998),1.0,2,-,-,-,-
"Chamber, The (1996)",3.0434782608695654,23,It's a Wonderful Life (1946),Psycho (1960),Raiders of the Lost Ark (1981),True Lies (1994)
Charade (1963),3.8421052631578947,19,Dante's Peak (1997),Chasing Amy (1997),"Game, The (1997)",Broken Arrow (1996)
Chasers (1994),3.0,1,-,-,-,-
Chasing Amy (1997),3.8711340206185567,194,Aladdin (1992),Unforgiven (1992),Mars Attacks! (1996),Lone Star (1996)
Children of the Corn: The Gathering (1996),1.2727272727272727,11,Starship Troopers (1997),Sleepless in Seattle (1993),Apocalypse Now (1979),L.A. Confidential (1997)
Children of the Revolution (1996),3.5,2,"Birdcage, The (1996)",Leaving Las Vegas (1995),When Harry Met Sally... (1989),Star Wars (1977)
Chinatown (1974),4.2368421052631575,76,Apocalypse Now (1979),"Godfather, The (1972)",M*A*S*H (1970),"Shining, The (1980)"
"Christmas Carol, A (1938)",3.935483870967742,31,Boogie Nights (1997),Starship Troopers (1997),Mars Attacks! (1996),In & Out (1997)
Chungking Express (1994),3.75,16,Indiana Jones and the Last Crusade (1989),Starship Troopers (1997),Back to the Future (1985),Star Trek: First Contact (1996)
"Ciao, Professore! (1993)",2.3333333333333335,3,Jaws (1975),Willy Wonka and the Chocolate Factory (1971),Terminator 2: Judgment Day (1991),"Empire Strikes Back, The (1980)"
Cinderella (1950),3.6515151515151514,66,Mission: Impossible (1996),Boogie Nights (1997),"Lion King, The (1994)",Beauty and the Beast (1991)
Cinema Paradiso (1988),4.283333333333333,60,When Harry Met Sally... (1989),"Graduate, The (1967)",Apocalypse Now (1979),"Shawshank Redemption, The (1994)"
Circle of Friends (1995),3.425,40,Sense and Sensibility (1995),"Terminator, The (1984)","Silence of the Lambs, The (1991)","Full Monty, The (1997)"
Citizen Kane (1941),4.291666666666667,96,Evita (1996),Dead Man Walking (1995),GoodFellas (1990),"Game, The (1997)"
Citizen Ruth (1996),3.4444444444444446,27,Stand by Me (1986),Murder at 1600 (1997),Face/Off (1997),Jurassic Park (1993)
City Hall (1996),3.0833333333333335,36,Volcano (1997),Quiz Show (1994),Dead Poets Society (1989),"Fish Called Wanda, A (1988)"
City Slickers II: The Legend of Curly's Gold (1994),2.68,25,Braveheart (1995),Field of Dreams (1989),This Is Spinal Tap (1984),Casablanca (1942)
City of Angels (1998),2.8333333333333335,6,"Godfather, The (1972)",Mrs. Doubtfire (1993),Star Trek IV: The Voyage Home (1986),Die Hard (1988)
City of Industry (1997),1.6666666666666667,3,Liar Liar (1997),Rear Window (1954),Return of the Jedi (1983),"Saint, The (1997)"
"City of Lost Children, The (1995)",3.765957446808511,47,Star Trek: The Wrath of Khan (1982),GoodFellas (1990),Leaving Las Vegas (1995),Gandhi (1982)
Clean Slate (1994),3.0,8,Return of the Jedi (1983),Star Trek: First Contact (1996),Mission: Impossible (1996),Amadeus (1984)
Clean Slate (Coup de Torchon) (1981),2.3333333333333335,3,M*A*S*H (1970),Dances with Wolves (1990),Apocalypse Now (1979),Evita (1996)
Clear and Present Danger (1994),3.5977011494252875,87,Conspiracy Theory (1997),Phenomenon (1996),Terminator 2: Judgment Day (1991),"Saint, The (1997)"
Clerks (1994),3.8,85,Get Shorty (1995),Brazil (1985),Trainspotting (1996),"Clockwork Orange, A (1971)"
"Client, The (1994)",3.36,50,Babe (1995),"Sting, The (1973)",Back to the Future (1985),"Saint, The (1997)"
Cliffhanger (1993),2.9069767441860463,43,"Sting, The (1973)",Dead Poets Society (1989),Mighty Aphrodite (1995),Independence Day (ID4) (1996)
Clockers (1995),3.066666666666667,15,"Game, The (1997)",Courage Under Fire (1996),"Saint, The (1997)","Hunt for Red October, The (1990)"
"Clockwork Orange, A (1971)",3.9814814814814814,108,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),Boogie Nights (1997),Psycho (1960),M*A*S*H (1970)
"Close Shave, A (1995)",4.415094339622642,53,"Shawshank Redemption, The (1994)","Full Monty, The (1997)",Lone Star (1996),Chasing Amy (1997)
Clueless (1995),3.3214285714285716,84,Rear Window (1954),Babe (1995),"Fifth Element, The (1997)",Star Trek: The Wrath of Khan (1982)
Cobb (1994),3.5,4,M*A*S*H (1970),Quiz Show (1994),Beauty and the Beast (1991),Sleepless in Seattle (1993)
Cold Comfort Farm (1995),3.8275862068965516,58,To Kill a Mockingbird (1962),Courage Under Fire (1996),Gandhi (1982),Lone Star (1996)
Coldblooded (1995),2.0,1,-,-,-,-
"Collectionneuse, La (1967)",1.0,1,-,-,-,-
"Colonel Chabert, Le (1994)",3.5,4,Raiders of the Lost Ark (1981),"Clockwork Orange, A (1971)","Terminator, The (1984)",Die Hard (1988)
Color of Night (1994),2.888888888888889,9,Star Trek IV: The Voyage Home (1986),Air Force One (1997),Men in Black (1997),"Hunt for Red October, The (1990)"
Commandments (1997),3.0,2,-,-,-,-
Con Air (1997),3.514705882352941,68,Broken Arrow (1996),M*A*S*H (1970),Jurassic Park (1993),Top Gun (1986)
Conan the Barbarian (1981),3.1,60,L.A. Confidential (1997),Quiz Show (1994),"Truth About Cats & Dogs, The (1996)",Star Trek: The Wrath of Khan (1982)
Coneheads (1993),2.0952380952380953,21,Unforgiven (1992),Heat (1995),"People vs. Larry Flynt, The (1996)","Terminator, The (1984)"
Congo (1995),2.44,25,Mighty Aphrodite (1995),Top Gun (1986),Independence Day (ID4) (1996),"Birdcage, The (1996)"
Conspiracy Theory (1997),3.4295302013422817,149,Star Trek IV: The Voyage Home (1986),"Time to Kill, A (1996)",Ransom (1996),Phenomenon (1996)
Contact (1997),3.845878136200717,279,Star Trek: The Wrath of Khan (1982),Mission: Impossible (1996),"Hunt for Red October, The (1990)","Shawshank Redemption, The (1994)"
"Contempt (Mépris, Le) (1963)",3.2,5,Twelve Monkeys (1995),Liar Liar (1997),"Devil's Own, The (1997)",Dead Man Walking (1995)
"Convent, The (Convento, O) (1995)",1.0,1,-,-,-,-
"Cook the Thief His Wife & Her Lover, The (1989)",3.292682926829268,41,"Fifth Element, The (1997)",Star Trek IV: The Voyage Home (1986),"Birdcage, The (1996)","Game, The (1997)"
Cool Hand Luke (1967),4.057471264367816,87,Ransom (1996),"Time to Kill, A (1996)","Hunt for Red October, The (1990)",It's a Wonderful Life (1946)
Cool Runnings (1993),3.236842105263158,38,Murder at 1600 (1997),Volcano (1997),"Shawshank Redemption, The (1994)",It's a Wonderful Life (1946)
Cop Land (1997),3.3255813953488373,86,"Hunt for Red October, The (1990)",Quiz Show (1994),Phenomenon (1996),Brazil (1985)
Cops and Robbersons (1994),2.625,8,Babe (1995),"Silence of the Lambs, The (1991)",This Is Spinal Tap (1984),"Clockwork Orange, A (1971)"
Copycat (1995),3.326923076923077,52,Air Force One (1997),Dante's Peak (1997),Courage Under Fire (1996),In & Out (1997)
"Corrina, Corrina (1994)",3.3181818181818183,22,Dances with Wolves (1990),To Kill a Mockingbird (1962),Chasing Amy (1997),Return of the Jedi (1983)
Cosi (1996),4.0,2,-,-,-,-
Country Life (1994),1.5,2,Alien (1979),Mrs. Doubtfire (1993),Pulp Fiction (1994),Rear Window (1954)
Courage Under Fire (1996),3.6422018348623855,109,"Full Monty, The (1997)",Titanic (1997),In & Out (1997),"Saint, The (1997)"
"Cowboy Way, The (1994)",2.5454545454545454,11,Lone Star (1996),Trainspotting (1996),"Time to Kill, A (1996)",Boogie Nights (1997)
"Craft, The (1996)",2.9791666666666665,48,Terminator 2: Judgment Day (1991),Conspiracy Theory (1997),"Game, The (1997)",Dante's Peak (1997)
Crash (1996),2.5714285714285716,77,Twelve Monkeys (1995),Phenomenon (1996),Beauty and the Beast (1991),Quiz Show (1994)
Crimson Tide (1995),3.6153846153846154,91,Heat (1995),True Lies (1994),"Fugitive, The (1993)",Conspiracy Theory (1997)
Critical Care (1997),3.125,8,"Clockwork Orange, A (1971)","Fish Called Wanda, A (1988)",Murder at 1600 (1997),One Flew Over the Cuckoo's Nest (1975)
Cronos (1992),3.6,5,"Godfather, The (1972)",Gandhi (1982),Broken Arrow (1996),Terminator 2: Judgment Day (1991)
Crooklyn (1994),3.25,4,Quiz Show (1994),M*A*S*H (1970),Face/Off (1997),This Is Spinal Tap (1984)
Crossfire (1947),4.0,3,-,-,-,-
"Crossing Guard, The (1995)",2.9444444444444446,18,"Full Monty, The (1997)",Top Gun (1986),Beauty and the Beast (1991),One Flew Over the Cuckoo's Nest (1975)
"Crow, The (1994)",3.4166666666666665,72,Scream (1996),Broken Arrow (1996),Face/Off (1997),Volcano (1997)
"Crow: City of Angels, The (1996)",2.0869565217391304,23,Stand by Me (1986),Evita (1996),Dead Poets Society (1989),Amadeus (1984)
Crows and Sparrows (1949),1.5,2,Contact (1997),Courage Under Fire (1996),"English Patient, The (1996)",Liar Liar (1997)
"Crucible, The (1996)",3.45,40,Star Trek: The Wrath of Khan (1982),Dead Man Walking (1995),Aladdin (1992),Phenomenon (1996)
"Crude Oasis, The (1995)",1.0,1,-,-,-,-
Crumb (1994),3.811320754716981,53,GoodFellas (1990),Apocalypse Now (1979),Unforgiven (1992),Heat (1995)
"Cry, the Beloved Country (1995)",3.4444444444444446,9,Men in Black (1997),Get Shorty (1995),Alien (1979),Groundhog Day (1993)
"Crying Game, The (1992)",3.5522388059701493,67,E.T. the Extra-Terrestrial (1982),"Wizard of Oz, The (1939)",Amadeus (1984),"English Patient, The (1996)"
Curdled (1996),2.8,5,Trainspotting (1996),"Saint, The (1997)",Courage Under Fire (1996),Dante's Peak (1997)
"Cure, The (1995)",3.2,5,Phenomenon (1996),Broken Arrow (1996),Titanic (1997),Get Shorty (1995)
Cutthroat Island (1995),1.9,10,In & Out (1997),Evita (1996),Volcano (1997),It's a Wonderful Life (1946)
Cyclo (1995),3.0,1,-,-,-,-
Cyrano de Bergerac (1990),3.972972972972973,37,Rear Window (1954),Quiz Show (1994),Brazil (1985),Alien (1979)
"Cérémonie, La (1995)",4.0,2,-,-,-,-
D3: The Mighty Ducks (1996),2.3333333333333335,12,Air Force One (1997),"Devil's Own, The (1997)",Evita (1996),"Shining, The (1980)"
Daens (1992),1.0,1,-,-,-,-
"Damsel in Distress, A (1937)",4.0,1,-,-,-,-
Dances with Wolves (1990),3.79136690647482,139,When Harry Met Sally... (1989),Die Hard (1988),Forrest Gump (1994),Star Trek: The Wrath of Khan (1982)
Dangerous Beauty (1998),3.8,5,"Rock, The (1996)",Dances with Wolves (1990),"Devil's Own, The (1997)",Gandhi (1982)
Dangerous Ground (1997),1.4,5,Twelve Monkeys (1995),2001: A Space Odyssey (1968),"English Patient, The (1996)",Pulp Fiction (1994)
Dangerous Minds (1995),3.48,25,"Time to Kill, A (1996)",Murder at 1600 (1997),Speed (1994),Star Trek III: The Search for Spock (1984)
Daniel Defoe's Robinson Crusoe (1996),4.0,1,-,-,-,-
Dante's Peak (1997),2.8728813559322033,118,Star Trek: The Wrath of Khan (1982),Volcano (1997),Twister (1996),M*A*S*H (1970)
Dark City (1998),3.5,6,Back to the Future (1985),Toy Story (1995),"Fifth Element, The (1997)",Dante's Peak (1997)
Dave (1993),3.5869565217391304,92,Conspiracy Theory (1997),"Usual Suspects, The (1995)","Fugitive, The (1993)",L.A. Confidential (1997)
"Davy Crockett, King of the Wild Frontier (1955)",3.6,5,Willy Wonka and the Chocolate Factory (1971),"Godfather, The (1972)","Full Monty, The (1997)",This Is Spinal Tap (1984)
"Day the Earth Stood Still, The (1951)",4.043478260869565,46,Dead Poets Society (1989),Quiz Show (1994),Independence Day (ID4) (1996),Die Hard (1988)
"Day the Sun Turned Cold, The (Tianguo niezi) (1994)",1.0,1,-,-,-,-
Daylight (1996),2.7037037037037037,27,"Sound of Music, The (1965)","Graduate, The (1967)",Field of Dreams (1989),Beauty and the Beast (1991)
Days of Thunder (1990),2.6785714285714284,28,Evita (1996),Murder at 1600 (1997),Forrest Gump (1994),Air Force One (1997)
"Daytrippers, The (1996)",3.8333333333333335,6,Jaws (1975),Gandhi (1982),Evita (1996),Rear Window (1954)
Dazed and Confused (1993),3.5526315789473686,38,GoodFellas (1990),"Shining, The (1980)",M*A*S*H (1970),Star Trek: The Wrath of Khan (1982)
